abscissa	curvature	dir_mid_line	x_mid_line	y_mid_line	elevation	slope	banking	torsion	upsilon	width_no_kerbs_L	width_no_kerbs_R	width_kerbs_L	width_kerbs_R	width_kerbsMod_and_Constraint_MLT_L	width_kerbsMod_and_Constraint_MLT_R
352.42778404862963271	0.00011397629265107521543	-7.3015596809980181092	-32.321810486087230174	31.98681183368471892	-0.9413407703	0.000412000937297	0.00165721472574	2.10474500328e-05	2.74945210629e-06	4.0274597	3.6787396	4.0994911	3.6390072	4.0994911	3.6390072
353.42899936463732047	0.001090424326231837545	-7.3009567432599764558	-31.796234797698371466	31.134636808772683025	-0.941625717	0.000421177749258	0.00164950247579	1.97839536161e-05	4.27646912513e-06	4.0530606	3.6662031	4.107455	3.6278961	4.107455	3.6278961
354.43021468064489454	0.0020668781658167777009	-7.2993761664369545272	-31.269729101883626754	30.283036168061027382	-0.9418954276	0.000429910441701	0.00164106406381	1.8464183351e-05	5.78270494933e-06	4.077515	3.6559436	4.1187109	3.6169096	4.1187109	3.6169096
355.43142999665246862	0.0030157916597316910233	-7.296817949272341508	-30.741462323858559813	29.432527042764203173	-0.9421336849	0.000437744160924	0.00163108728569	1.70430097466e-05	7.25371859073e-06	4.0975692	3.6473389	4.1372885	3.6084762	4.1372885	3.6084762
356.43264531275411855	0.0053879163593803843652	-7.2926112609348079374	-30.210420808427421946	28.58374819537460354	-0.9423558053	0.0004451166678	0.00162032125885	1.49547354629e-05	1.09116729564e-05	4.1119388	3.6401071	4.1586894	3.6050282	4.1586894	3.6050282
357.43386062876174947	0.0077612089745977726196	-7.2860286910421248052	-29.674808890661925176	27.737847282107647828	-0.9425456313	0.000451558984904	0.00160808510403	1.27277143261e-05	1.45396509899e-05	4.1191516	3.6366175	4.1752162	3.6073471	4.1752162	3.6073471
358.4350759447692667	0.010042210111524329033	-7.2770699448970850298	-29.132640837274447421	26.89613521820312414	-0.9427187469	0.000457519982882	0.00159508824345	1.04240731704e-05	1.80944453622e-05	4.1175921	3.6406265	4.1793766	3.6148453	4.1793766	3.6148453
359.43629126321474132	0.014329215070271815458	-7.2648720054000950341	-28.581734059998797903	26.060120040748497416	-0.9428590444	0.000462503073499	0.00158063047282	7.15881378521e-06	2.44338709919e-05	4.1058438	3.6562325	4.1652133	3.6271975	4.1652133	3.6271975
360.43750657922237224	0.018626956095594924406	-7.2483738628631133594	-28.018893216776838528	25.232098585060498408	-0.9429822154	0.000466975827621	0.00156541030307	3.75926460533e-06	3.07916478265e-05	4.0841657	3.6862088	4.1356641	3.6466774	4.1356641	3.6466774
361.43872189522988947	0.022761020910460127292	-7.2275727573631476375	-27.440712724299313408	24.414722749226339005	-0.9430729236	0.000470442935074	0.00154898953942	2.33419854615e-07	3.69769416155e-05	4.0535763	3.7308872	4.0971171	3.6772243	4.0971171	3.6772243
