s	time	x	y	Vx	Vy	yaw_rate	ax	ay	delta	throttle	brake
0.0	0.0	0.765974191631	-1.34313927549	35.1217345707	0.0298410067118	-0.00562678670749	0.19135269297	-0.33948499835	-0.000128840900149	0.564319786599	-8.7325617516e-113
1.54773669412	0.044290457011	-0.571044889248	-2.10769691878	35.126082766	0.0242278557889	-0.00562678104643	0.00544856848888	-0.309142914801	-0.000276924465689	0.52209675237	-6.22963679618e-97
3.09547338825	0.0885775998788	-1.90854743694	-2.87179669748	35.1221750052	0.0207635260393	-0.00779077389959	-0.181452686486	-0.318531109777	-0.000517046447142	0.479327110264	-3.95113381308e-82
4.64321008237	0.13286873282	-3.24669486448	-3.63549053659	35.1099582603	0.020701299727	-0.0111856340273	-0.369622093045	-0.350677704009	-0.00068714366157	0.435963446731	-2.05934844919e-68
6.19094677649	0.177170466106	-4.58553307557	-4.39876910204	35.0893627046	0.0237486164046	-0.0125248972477	-0.559431098527	-0.344055135582	-0.000475882459192	0.391934613169	-8.1536017426e-56
7.73868347062	0.221492626038	-5.92464398013	-5.16146919982	35.0602965045	0.0263951041401	-0.00604390111932	-0.751533052115	-0.187830357173	0.000505009215295	0.347131627704	-2.26466915859e-44
9.28642016474	0.265845975552	-7.2627499913	-5.9232863756	35.0226206742	0.0209238970923	0.0148572429008	-0.947669680815	0.250130045545	0.00251248786407	0.301392977864	-4.04045187308e-34
10.8341568589	0.310241927642	-8.59753026913	-6.68392665818	34.976063826	-0.0034143496382	0.0535372544701	-1.15085075459	1.04726057383	0.00533960403426	0.254475116582	-4.16621685079e-25
12.381893553	0.354694374744	-9.92610798061	-7.44349078912	34.9201060693	-0.0556976883215	0.104149737715	-1.36287122278	2.11035340863	0.00798224966814	0.205998207897	1.2755808212600001e-18
13.9296302471	0.399220643693	-11.2465154994	-8.20300728345	34.8540500521	-0.135080610353	0.146725766105	-1.58028623197	3.07490381036	0.00855677562111	0.155361493684	-1.10257713099e-12
15.4773669412	0.443838719011	-12.5600545808	-8.96499236866	34.7774861694	-0.221500612921	0.14733291167	-1.79938409868	3.28822315446	0.00468596018215	0.101630811755	-1.40490793838e-07
17.0251036354	0.488563785405	-13.8741765226	-9.73385483499	34.6905852811	-0.269834762563	0.0645778990675	-2.04108584015	1.90545613272	-0.00553228299097	0.0437450399801	-0.000427929915325
18.5728403295	0.533404553639	-15.2041440428	-10.5152007184	34.5893130207	-0.21411601046	-0.130292249091	-2.51057409334	-1.67723714072	-0.0215442560511	0.001840208258	-0.028551409699
20.1205770236	0.578380845691	-16.5696292842	-11.31230217	34.4412331507	0.00557701071417	-0.402419628095	-4.10479021198	-6.76053159737	-0.0381223901722	1.33864515271e-08	-0.11413490646
21.6683137177	0.623543801572	-17.9838008031	-12.1200208664	34.2175188994	0.39802113589	-0.641922090413	-5.51338568846	-11.3481306043	-0.0475031760475	2.9624579334900003e-18	-0.211970488817
23.2160504119	0.66897191652	-19.4451976396	-12.924358234	33.9095918475	0.914212113934	-0.77593005066	-7.00391960794	-13.8166594684	-0.045270282687	1.74174819945e-35	-0.307877670119
24.763787106	0.714761031107	-20.9428243505	-13.7106421719	33.5195725945	1.49356252738	-0.819271332524	-8.02242980206	-14.4179390105	-0.0320347118114	5.0445455304e-55	-0.389002062049
26.3115238001	0.761007113529	-22.464537788	-14.4695472908	33.0642306164	2.09224181739	-0.813581689739	-8.68425157316	-13.9535710005	-0.0105334207591	4.69716162985e-70	-0.44137848921
27.8592604942	0.807787404177	-24.0007631507	-15.1970154017	32.569189882	2.67924927197	-0.779899823231	-8.64471388033	-13.1965660249	0.0159331278207	3.5522213611499995e-73	-0.451493740735
29.4069971884	0.855145113588	-25.5426173804	-15.8911134627	32.0712243417	3.21202320186	-0.721969106395	-7.94588756835	-12.8207415068	0.0401450099776	1.45510227313e-60	-0.409087354642
30.9547338825	0.903080089616	-27.0842193094	-16.5505898213	31.6107454269	3.63255997152	-0.664887848729	-6.52678630496	-13.788263427	0.0514633032465	7.1659922982e-38	-0.31889142617
32.5024705766	0.951561479443	-28.6259220836	-17.1736362994	31.2163458523	3.91374723314	-0.646122155724	-4.821837373	-15.7281214613	0.0488101002255	3.2751542697500003e-18	-0.211672837288
34.0502072707	1.00055556646	-30.171621711	-17.7568791109	30.8881488012	4.09666673229	-0.660355831464	-3.37737306068	-17.2598181679	0.041598124407	1.23193609874e-09	-0.125724254651
35.5979439648	1.05005682767	-31.7211989638	-18.2956601396	30.604281828	4.24358972858	-0.682547507816	-2.51427514775	-18.014926592	0.0361277997182	1.03756907418e-05	-0.0746408225401
37.145680659	1.10012921859	-33.2696043532	-18.78559143	30.3415792317	4.38548868174	-0.698166107469	-2.03285088598	-18.3549065466	0.0331503896259	0.000282973574775	-0.0477059651952
